GENESIS-Tabelle: 41253-0005
Erntemenge an Weinmost, Weinmostertrag je Hektar, Rebfläche;;;;;;;;;;
im Ertrag: Bundesländer, Jahre, Weinmostsorte;;;;;;;;;;
Erhebung der Weinernte;;;;;;;;;;
;;Weißmost;Weißmost;Weißmost;Rotmost;Rotmost;Rotmost;Insgesamt;Insgesamt;Insgesamt
;;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag
;;hl;hl;ha;hl;hl;ha;hl;hl;ha
Saarland;2006;7228;87,4;83;662;68,5;10;7890;85,4;92
Saarland;2007;10091;118,1;85;932;92,1;10;11023;115,4;96
Saarland;2008;8593;100,6;85;873;89,8;10;9466;99,5;95
Saarland;2009;8699;95,6;91;916;76,3;12;9615;93,3;103
Saarland;2010;8648;101,5;85;933;90,7;10;9581;100,4;95
Saarland;2011;9168;102,2;90;1024;95,7;11;10192;101,5;100
Saarland;2012;6314;70,4;90;657;61,3;11;6970;69,5;100
Saarland;2013;7848;85,6;92;942;88,7;11;8790;85,9;102
Saarland;2014;9148;100,9;91;978;91,0;11;10126;99,8;101
Saarland;2015;8284;84,4;98;963;71,8;13;9246;82,9;112
Saarland;2016;7018;70,7;99;790;59,4;13;7808;69,4;113
Saarland;2017;7068;68,1;104;816;63,8;13;7885;67,6;117
Saarland;2018;10174;102,7;99;1074;83,9;13;11248;100,5;112
Sachsen;1993;13782;45,0;310;435;54,0;8;14217;45,0;318
Sachsen;1994;.;.;.;.;.;.;.;.;.
Sachsen;1995;.;.;272;.;.;13;11744;41,2;285
Sachsen;1996;.;.;287;.;.;16;10327;34,1;303
Sachsen;1997;4705;15,5;303;.;.;22;.;.;325
Sachsen;1998;20217;67,2;301;1738;69,5;25;21955;67,3;326
Sachsen;1999;18944;60,5;313;2058;71,0;29;21002;61,4;342
Sachsen;2000;20402;57,0;358;2450;48,0;51;22852;55,9;409
Sachsen;2001;12485;34,0;367;2144;38,3;56;14629;34,6;423
Sachsen;2002;15585;42,7;365;3062;54,7;56;18647;44,3;421
Sachsen;2003;14152;40,0;353;2655;46,6;57;16806;41,0;410
Sachsen;2004;13814;42,5;325;3196;54,4;59;17010;44,3;384
Sachsen;2005;15148;48,7;311;3247;51,8;63;18395;49,2;374
Sachsen;2006;17493;55,2;317;3323;48,3;69;20816;53,9;386
Sachsen;2007;19812;60,7;327;5041;65,7;77;24852;61,6;403
Sachsen;2008;21118;61,6;343;5508;67,6;81;26626;62,8;424
Sachsen;2009;7809;23,9;327;2045;25,2;81;9855;24,2;408
Sachsen;2010;9706;29,3;331;2318;28,8;80;12024;29,2;412
Sachsen;2011;18636;54,5;342;4344;53,9;81;22980;54,4;422
Sachsen;2012;16046;43,4;370;3569;41,3;86;19615;43,0;456
Sachsen;2013;11278;30,2;374;3017;34,2;88;14296;31,0;462
Sachsen;2014;16273;43,3;376;3363;37,0;91;20916;42,5;493
Sachsen;2015;18747;50,2;374;4394;48,8;90;23141;49,9;464
Sachsen;2016;22427;59,1;380;4430;51,3;86;26857;57,6;466
Sachsen;2017;20201;53,0;381;4208;48,9;86;24409;52,2;467
Sachsen;2018;19854;51,8;383;3939;46,7;84;23792;50,9;467
Sachsen-Anhalt;1993;13303;42,2;315;2710;77,4;35;16013;45,8;350
Sachsen-Anhalt;1994;17048;55,5;307;2835;52,5;54;19883;55,1;361
Sachsen-Anhalt;1995;18292;48,3;379;3761;58,8;64;22053;49,8;443
Sachsen-Anhalt;1996;13787;35,1;393;3046;42,3;72;16833;36,2;465
Sachsen-Anhalt;1997;8118;20,3;399;1495;18,0;83;9613;19,9;482
Sachsen-Anhalt;1998;21866;53,1;412;5410;56,4;96;27276;53,7;508
Sachsen-Anhalt;1999;33100;75,2;440;8989;85,9;105;42089;77,3;545
Sachsen-Anhalt;2000;32379;65,6;494;9792;76,9;127;42171;67,9;621
Sachsen-Anhalt;2001;24502;47,9;512;7257;53,6;135;31759;49,1;647
Sachsen-Anhalt;2002;29708;58,0;513;10050;70,8;142;39758;60,7;655
Sachsen-Anhalt;2003;20712;41,4;500;6107;42,3;144;26819;41,6;645
Sachsen-Anhalt;2004;26866;54,3;494;10261;65,6;156;37127;57,0;651
Sachsen-Anhalt;2005;21286;43,0;495;8906;55,8;160;30192;46,2;654
Sachsen-Anhalt;2006;34265;69,6;492;12466;73,0;171;46732;70,5;663
