Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20200802;;;;;;;;;;;;;;;;;;
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1933;year;501,70;502,00;798,70;838,40;642,90;515,90;587,10;586,80;659,90;571,90;612,10;583,30;652,70;475,40;534,00;607,70;656,20
1934;year;488,20;487,20;717,90;700,90;614,00;499,00;566,40;565,90;699,70;619,40;633,20;729,20;634,40;433,00;476,70;531,70;615,30
1935;year;601,20;600,80;1031,10;957,50;785,70;663,40;754,80;755,60;852,70;790,50;828,30;953,00;755,10;578,40;639,50;716,40;811,20
1936;year;493,30;494,20;1072,40;1040,00;834,70;615,60;771,70;771,20;905,50;851,60;803,00;966,90;681,80;525,20;621,30;742,20;825,80
1937;year;615,20;616,40;913,00;936,90;681,90;672,80;755,50;756,10;790,20;748,70;842,50;931,10;782,30;672,00;688,00;708,10;789,70
1938;year;562,10;562,00;968,10;862,20;741,70;505,20;705,00;703,70;838,90;736,30;670,00;777,70;710,40;528,60;577,20;638,30;741,20
1939;year;728,60;728,20;1277,00;1107,80;908,40;666,10;797,10;796,60;891,70;899,50;734,70;1061,00;888,60;691,20;771,30;872,20;916,30
1940;year;565,30;565,50;1116,90;1061,60;816,10;590,90;794,30;793,30;894,10;833,60;720,20;987,20;802,90;577,60;675,40;798,40;847,40
1941;year;650,60;650,50;1050,60;1081,50;833,20;645,00;751,10;750,50;860,30;804,10;680,80;961,10;1021,70;690,00;783,80;901,90;866,10
1942;year;487,20;487,40;857,90;772,00;635,20;569,90;639,00;638,60;711,10;669,50;642,00;738,50;610,00;486,50;534,70;595,30;667,70
1943;year;394,50;394,60;745,80;727,90;612,60;455,30;618,00;617,70;737,90;670,30;639,60;803,50;498,30;433,70;483,20;545,40;620,10
1944;year;560,30;561,10;1061,80;1111,90;800,00;604,80;771,40;770,60;992,90;778,10;757,80;898,30;768,60;571,10;661,10;774,40;852,40
1945;year;569,60;569,00;938,80;877,60;757,10;602,90;734,90;735,20;880,90;770,90;803,30;851,60;724,20;573,40;639,40;722,50;772,50
1946;year;605,40;606,80;870,60;870,10;769,00;699,20;706,60;705,70;838,10;731,40;808,20;904,40;767,30;579,90;641,10;718,10;766,60
1947;year;516,40;515,00;854,70;804,40;674,70;573,20;664,90;664,40;757,70;684,00;645,50;862,70;599,90;464,40;543,30;642,40;688,80
1948;year;582,30;581,80;881,60;903,90;768,80;599,90;711,50;712,20;865,80;765,10;745,80;925,80;665,80;523,20;566,30;620,50;756,40
1949;year;527,30;527,70;648,30;736,10;576,80;618,00;702,20;703,30;742,10;578,70;746,80;634,00;659,00;491,80;540,10;600,90;656,40
1950;year;583,60;583,30;1014,00;916,10;895,70;684,50;780,90;780,90;886,30;923,90;861,70;1068,80;731,40;616,90;711,10;829,70;829,40
1951;year;520,60;520,70;929,90;810,40;706,00;605,40;778,10;779,10;897,30;807,10;876,50;920,90;572,30;536,40;582,60;640,60;750,80
1952;year;541,90;542,80;1079,70;1002,80;834,30;591,70;751,60;750,50;906,20;919,50;757,00;1062,20;740,40;593,40;684,90;800,00;831,00
